證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
3015,全漢,"603,069",384,"27,035,171",44.3,45.2,44.3,45.2,+,1.1,45.15,1,45.2,20,10.32
3016,嘉晶,"2,205,282","1,356","149,978,179",67.5,68.5,67.4,68.4,+,1.5,68.2,2,68.4,32,402.35
3017,奇鋐,"9,808,236","5,583","713,883,755",74.5,74.5,71.5,72.4,-,1,72.4,119,72.5,51,11.31
3018,同開,"76,919",133,"1,241,386",16.2,16.25,16,16.2,-,0.1,16.15,7,16.25,6,
3019,亞光,"5,694,270","3,924","474,869,754",83,84.9,82,82.5,+,0.5,82.5,13,82.6,1,28.45
3021,鴻名,"571,680",291,"12,554,011",20.75,22.8,20.75,22.8,+,2.05,22.8,419,--,0,15.72
3022,威強電,"137,644",125,"7,094,295",51.6,51.9,50.8,51.7,+,0.7,51.6,4,51.7,4,8.69
3023,信邦,"146,125",240,"38,625,690",266,266,263,264,-,2,263.5,12,264.5,1,27.3
3024,憶聲,"2,124,292",659,"28,929,028",13.5,13.85,13.45,13.65,+,0.2,13.6,35,13.65,6,68.25
3025,星通,"1,102,608",651,"29,778,496",26.45,28,26.2,27.15,+,1.15,27.1,16,27.25,2,51.23
3026,禾伸堂,"1,561,307","1,210","207,304,973",133.5,134,131.5,133.5,+,1,133,42,133.5,28,13.59
3027,盛達,"1,605,423",882,"38,445,938",23.9,24.55,23.5,23.8,+,0.35,23.8,1,23.85,13,79.33
3028,增你強,"707,107",382,"19,898,340",28.05,28.25,28.05,28.2,+,0.2,28.15,61,28.2,17,9.83
3029,零壹,"587,957",413,"27,653,005",47.2,47.2,46.8,47,+,0.2,47,34,47.1,6,12.77
3030,德律,"364,164",272,"21,015,983",57.5,57.9,57.3,57.9,+,0.6,57.9,8,58,37,12.24
3031,佰鴻,"796,377",385,"14,920,359",18.5,18.95,18.45,18.7,+,0.3,18.7,12,18.75,7,18.7
3032,偉訓,"218,446",165,"9,175,638",41.5,42.45,41.5,42.3,+,0.8,42.25,2,42.3,8,10.37
3033,威健,"25,679,067","9,365","622,573,614",23.4,24.75,23.3,24.75,+,1.55,24.7,254,24.75,19,10.31
3034,聯詠,"14,356,410","16,482","7,545,490,433",536,540,515,516,-,18,516,132,517,11,20.28
3035,智原,"22,562,246","12,911","1,584,126,198",68,71.7,67.9,69.4,+,1,69.4,72,69.5,22,43.38
3036,文曄,"4,027,563","2,450","223,375,162",54.7,56,54.7,55.7,+,1.4,55.6,21,55.7,32,11.01
3036A,文曄甲特,"58,034",20,"2,780,135",47.85,48.05,47.85,48,-,0.15,47.75,2,48,6,
3037,欣興,"31,839,879","17,124","3,613,561,409",115,115.5,111,113,+,0.5,113,358,113.5,227,22.83
3038,全台,"4,890,119","1,668","105,002,425",21.1,21.85,20.9,21.4,+,0.35,21.4,16,21.45,54,13.21
3041,揚智,"2,616,474","1,363","71,208,485",26.8,27.65,26.7,27.3,+,0.8,27.3,69,27.35,1,
3042,晶技,"16,210,394","9,265","1,803,993,257",111.5,113.5,109.5,111,+,0.5,111,67,111.5,448,19.04
3043,科風,"114,254",51,"461,361",4.05,4.07,4.01,4.07,+,0.07,4.06,3,4.07,44,
3044,健鼎,"909,848",663,"118,033,891",129,130.5,128.5,130,+,1.5,130,129,130.5,21,10.42
3045,台灣大,"2,453,345","1,887","245,974,461",100,101,99.6,100,-,0.5,100,460,100.5,110,26.04
3046,建碁,"252,092",205,"6,338,328",24.2,26.05,24.1,25.8,+,1.3,25.55,5,25.8,10,
3047,訊舟,"1,463,153",507,"16,884,808",11.3,11.7,11.3,11.65,+,0.4,11.65,40,11.7,50,20.44
3048,益登,"2,090,148",990,"73,967,232",34.95,35.85,34.85,35.65,+,0.8,35.6,15,35.65,16,9.12
3049,和鑫,"8,303,948","2,321","107,239,830",12.8,13.1,12.7,12.9,+,0.25,12.85,158,12.9,142,23.89
3050,鈺德,"441,210",246,"6,940,594",15.5,15.95,15.5,15.75,+,0.35,15.7,44,15.75,3,15.44
3051,力特,"736,730",190,"6,049,891",8.14,8.31,8.05,8.23,+,0.23,8.19,9,8.23,34,4.47
3054,立萬利,"14,152",15,"326,550",23.45,23.45,22.8,23.3,-,0.2,23,1,23.3,1,145.62
3055,蔚華科,"204,238",119,"6,019,194",29.55,29.95,29,29.3,-,0.1,29.3,6,29.45,1,
3057,喬鼎,"1,651,577",636,"27,905,312",15.5,17.05,15.5,17.05,+,1.55,17.05,237,--,0,
3058,立德,"22,592,302","3,959","376,743,712",15.8,17.1,15.8,16.35,+,0.75,16.3,25,16.35,2,
3059,華晶科,"3,600,791","2,187","129,408,468",35.85,36.4,35.65,35.9,+,0.3,35.9,14,35.95,25,59.83
3060,銘異,"21,424,918","6,957","586,558,492",26,27.6,26,27.6,+,2.5,27.6,468,--,0,
3062,建漢,"2,391,434","1,031","43,068,779",17.8,18.25,17.65,18,+,0.4,18,4,18.05,24,257.14
3090,日電貿,"728,861",475,"38,940,497",53.7,53.7,53.1,53.5,+,0.3,53.5,10,53.6,6,14.12
3092,鴻碩,"1,165,104",733,"79,031,414",67.8,68.9,67.1,68.1,+,0.1,68,2,68.2,6,59.74
3094,聯傑,"1,880,043","1,153","65,540,792",34.1,35.75,34.1,34.45,+,0.15,34.4,13,34.5,1,56.48
3130,一零四,"2,254",15,"374,674",166,166,166,166,-,1,165,1,167.5,1,18.32
3138,耀登,"1,854,307","1,811","367,544,668",194.5,203,190.5,199,+,9,198.5,15,199,3,82.23
3149,正達,"3,877,472","2,173","138,251,575",35,36.8,34.35,36.1,+,1.2,36,129,36.1,5,
3189,景碩,"10,585,657","6,363","1,164,217,634",110,112.5,107.5,109.5, ,0,109,43,109.5,72,68.44
3209,全科,"931,457",442,"26,480,814",28.35,28.6,28.25,28.55,+,0.35,28.5,12,28.55,9,9.84
3229,晟鈦,"21,001",12,"131,616",6.17,6.48,6.17,6.48,+,0.31,6.22,3,6.44,2,
3231,緯創,"17,702,488","7,048","553,635,537",30.9,31.6,30.9,31.4,+,0.65,31.4,180,31.45,78,11.06
3257,虹冠電,"290,767",256,"22,082,089",75.6,76.3,75.3,76.1,+,1.3,75.8,1,76.1,2,19.46
3296,勝德,"199,030",108,"4,103,822",21,21.1,20.35,20.85,+,0.05,20.8,15,20.9,15,56.35
3305,昇貿,"6,879,782","4,068","325,203,087",48.3,48.9,46.35,46.8,-,0.9,46.8,8,46.85,8,19.26
3308,聯德,"40,443",43,"348,867",8.6,8.79,8.58,8.7,+,0.12,8.7,2,8.75,4,
3311,閎暉,"81,851",72,"2,833,456",34.65,34.85,34.1,34.65,+,0.15,34.65,2,34.85,1,48.12
3312,弘憶股,"1,007,209",533,"20,689,402",20.3,20.85,20.2,20.5,+,0.3,20.45,126,20.5,152,10.79
3321,同泰,"169,842",104,"2,211,002",13,13.15,12.85,13.05,+,0.15,12.9,49,13.05,15,
3338,泰碩,"736,928",541,"36,685,034",49,50.5,49,50.5,+,1.8,50.5,1,50.6,4,25.63
3356,奇偶,"443,841",217,"12,785,797",28.5,29,28.5,28.9,+,0.4,28.85,1,28.9,15,16.61
3376,新日興,"491,543",422,"55,030,731",111,113,111,112,+,1,112,14,112.5,17,12.6
3380,明泰,"1,411,488",795,"40,149,977",27.9,28.7,27.9,28.55,+,0.7,28.5,17,28.55,30,19.29
3383,新世紀,"72,369",27,"325,243",4.41,4.6,4.41,4.46, ,0,4.46,6,4.58,28,
3406,玉晶光,"6,227,884","5,985","3,024,989,309",476,494.5,472.5,486,+,19,486,9,488,3,19.26
3413,京鼎,"3,240,425","2,533","777,641,703",234,244.5,234,243.5,+,9.5,243,48,243.5,65,16.46
3416,融程電,"48,000",45,"3,543,300",74,74,73.4,74,+,0.3,74,1,74.1,2,18.78
3419,譁裕,"644,781",343,"12,689,810",19.6,19.8,19.5,19.75,+,0.3,19.7,12,19.75,7,18.99
3432,台端,"116,000",54,"1,500,750",13,13,12.8,12.9,-,0.1,12.85,15,12.9,11,28.04
3437,榮創,"3,450,914","1,764","105,410,533",30.25,31.1,29.9,30.35,+,0.55,30.35,38,30.4,3,101.17
3443,創意,"2,541,100","2,420","924,331,401",364.5,376.5,355,356,-,4,356,14,357.5,3,45.06
3450,聯鈞,"470,287",380,"27,631,610",58,59.3,58,58.5,+,0.8,58.4,25,58.6,6,31.79
3454,晶睿,"14,177",18,"1,103,266",77.8,78.2,77.7,77.8, ,0,77.8,18,78.3,1,31.5
3481,群創,"692,573,531","155,526","16,997,817,190",24.8,25.05,24.1,24.1,-,0.25,24.1,"5,758",24.15,393,13.39
3494,誠研,"72,046",39,"245,136",3.41,3.44,3.34,3.44,+,0.03,3.41,3,3.45,10,
3501,維熹,"116,000",76,"5,874,700",50.5,50.9,50.4,50.9,+,0.2,50.8,8,51,15,14.14
3504,揚明光,"1,994,174","1,551","155,681,815",74.9,82,74.9,76.5,+,1.7,76.4,2,76.5,1,
3515,華擎,"1,072,973",881,"178,994,465",164,169,163.5,166,+,3.5,165.5,44,166.5,5,11.95
3518,柏騰,"338,097",159,"9,265,176",26.95,28.7,26.7,27.95,+,1.45,27.9,2,27.95,1,
3528,安馳,"39,281",35,"1,804,292",45.95,46.4,45.7,46.3,+,0.65,46.25,2,46.3,1,12.12
3530,晶相光,"7,218,500","4,692","918,651,222",120.5,131,118.5,131,+,11.5,131,"3,625",--,0,28.36
3532,台勝科,"2,515,596","2,000","418,141,281",168.5,170.5,163,164,-,4.5,164,45,164.5,2,51.25
3533,嘉澤,"627,985",764,"374,528,841",599,608,586,588,-,5,588,5,589,1,19.3
3535,晶彩科,"385,352",193,"6,732,780",17.7,17.7,17.35,17.5,-,0.1,17.4,13,17.5,5,
3536,誠創,"153,585",45,"1,154,713",7.2,7.68,7.2,7.65,+,0.6,7.6,50,7.65,3,
3543,州巧,"159,001",84,"4,416,977",27.9,28.2,27.5,27.6,-,0.3,27.6,2,27.85,1,
3545,敦泰,"65,178,185","34,648","14,946,079,554",225,232.5,223,232.5,+,21,232.5,"5,464",--,0,27.22
3550,聯穎,"265,472",152,"4,835,662",18.35,18.35,18.05,18.35,+,0.3,18.25,1,18.35,18,11.47
3563,牧德,"137,112",150,"33,367,673",244.5,244.5,242,243.5,+,3,243.5,3,244,1,16.77
3576,聯合再生,"17,853,283","4,366","243,060,375",13.55,13.75,13.45,13.6,+,0.2,13.55,460,13.6,107,
3583,辛耘,"253,199",187,"15,707,531",61.9,62.6,61.2,62.1,+,0.9,62,2,62.2,1,15.45
3588,通嘉,"8,170,053","5,137","694,431,819",82.3,88.3,80.3,88.3,+,8,88.3,"5,175",--,0,47.99
3591,艾笛森,"263,665",147,"5,377,141",20.4,20.55,20.15,20.4,+,0.15,20.4,9,20.45,2,29.14
3593,力銘,"60,201",37,"879,061",14.8,14.8,14.5,14.8,-,0.1,14.55,1,14.95,2,15.74
3596,智易,"1,796,719","1,408","173,807,823",97,98.2,96.1,96.4,-,0.5,96.4,7,96.5,7,10.54
3605,宏致,"1,934,531","1,270","88,658,224",45.7,46.3,45.05,46,+,0.85,45.95,3,46.1,11,12.5
3607,谷崧,"937,403",477,"13,963,971",14.5,15.25,14.4,15.05,+,0.55,15,32,15.05,3,
3617,碩天,"65,269",41,"5,389,988",82,82.8,82,82.8,+,0.8,82.6,4,82.9,1,13.55
3622,洋華,"1,363,459",782,"46,764,152",33.6,35.35,33.25,34.25,+,1.1,34.25,38,34.35,18,23.14
3645,達邁,"404,762",298,"19,029,328",47.4,47.55,46.6,47.45,+,0.45,47.05,1,47.45,3,15.41
3653,健策,"1,445,303","1,224","414,505,600",289,292,281,281.5,-,4,281.5,25,282,3,41.7
3661,世芯-KY,"12,229,430","13,189","7,220,735,911",610,629,563,570,-,13,570,39,571,12,38.03
3665,貿聯-KY,"702,742",655,"171,937,918",240.5,246.5,240.5,246,+,2.5,246,3,246.5,30,17.29
3669,圓展,"3,773,126","2,786","327,635,808",85,88.5,84.5,87.9,+,3.6,87.9,26,88,18,8.3
3673,TPK-KY,"4,099,301","2,425","193,711,401",46.3,48,46.3,47.3,+,1.2,47.3,56,47.45,1,14.33
3679,新至陞,"210,027",190,"28,726,464",134.5,138,134,137.5,+,2.5,137,6,137.5,3,9.56
3682,亞太電,"3,165,210",906,"27,642,842",8.76,8.8,8.7,8.75,+,0.04,8.74,4,8.75,11,
3686,達能,"933,249",447,"14,909,074",15.75,16.15,15.75,16,+,0.25,16,16,16.05,15,
3694,海華,"434,200",247,"10,357,145",23.45,24.2,23.35,24.1,+,0.8,24.1,1,24.15,4,9.34
3701,大眾控,"12,553",31,"176,221",14.3,14.3,13.85,14.25,X,0,14.15,2,14.3,3,57
3702,大聯大,"2,888,977","2,199","150,176,514",52.1,52.2,51.7,51.9, ,0,51.9,58,52,6,10.97
3702A,大聯大甲特,"47,000",28,"2,345,600",49.8,50,49.8,50, ,0,49.9,3,50,50,
3704,合勤控,"2,844,801","1,481","88,532,313",31.6,31.7,30.85,30.9,-,0.25,30.9,90,30.95,5,12.36
3706,神達,"5,512,419","1,753","156,186,859",28.25,28.5,28.15,28.2, ,0,28.2,151,28.3,19,10.89
3711,日月光投控,"10,557,976","6,405","1,192,481,717",112,114,111.5,113,+,1.5,113,119,113.5,403,15.09
3712,永崴投控,"766,075",416,"22,494,671",28.95,29.65,28.95,29.6,+,0.85,29.6,2,29.65,4,27.66
3714,富采,"4,455,919","2,598","340,707,000",75.8,77.5,75.5,75.9,+,0.4,75.8,47,75.9,8,
4545,銘鈺,"424,051",238,"11,723,267",26.95,28.25,26.9,27.45,+,0.7,27.3,6,27.45,5,37.09
4904,遠傳,"1,275,434",765,"82,261,111",64.4,64.7,64.3,64.6,+,0.2,64.6,41,64.7,262,26.37
4906,正文,"1,907,708",879,"57,641,347",30.2,30.4,30.05,30.25,+,0.2,30.25,18,30.3,18,6.68
4912,聯德控股-KY,"504,142",366,"93,824,803",184,189,182,188.5,+,7,188.5,17,189,17,17.82
4915,致伸,"1,518,413","1,078","81,388,922",53.2,53.9,53.2,53.8,+,0.7,53.7,14,53.8,15,11.3
4916,事欣科,"114,300",80,"2,570,950",22.8,22.8,22.4,22.45,+,0.05,22.45,4,22.55,1,
4919,新唐,"46,617,904","26,895","3,925,614,665",82.9,86.3,81.8,86.1,+,4.2,86,341,86.1,34,42.21
4927,泰鼎-KY,"924,939",612,"52,595,810",57.2,57.4,56.6,56.7,+,0.2,56.7,40,56.8,16,10.07
4934,太極,"1,077,113",594,"26,203,104",23.75,24.8,23.75,24.8,+,1,24.5,2,24.8,51,
4935,茂林-KY,"2,233,312","1,710","222,076,061",98,100.5,98,100,+,3.5,100,230,100.5,23,8.28
4938,和碩,"6,542,977","3,549","481,703,176",73.6,73.8,73.4,73.8,+,0.3,73.7,105,73.8,257,8.42
4942,嘉彰,"365,095",259,"15,826,080",43.35,43.8,42.95,43.6,+,0.6,43.55,1,43.6,1,7.81
4943,康控-KY,"830,028",444,"60,426,023",72.8,72.8,72.8,72.8,+,6.6,72.8,"1,782",--,0,
4952,凌通,"564,175",442,"29,856,367",52.4,53.5,52.1,52.7,+,0.7,52.7,1,52.8,10,15.97
4956,光鋐,"2,274,748",972,"54,019,270",23.55,24.2,23.5,23.65,+,0.15,23.65,14,23.7,11,30.71
4958,臻鼎-KY,"5,799,243","3,243","569,887,578",98,99.5,97.1,98.4,+,1.4,98.3,19,98.4,85,11.38
4960,誠美材,"8,266,405","2,053","103,680,801",12.55,12.75,12.4,12.5, ,0,12.45,100,12.5,74,22.32
4961,天鈺,"38,737,156","31,006","12,873,181,150",336,347,307,312.5,-,21.5,312.5,152,313,20,37.43
4967,十銓,"12,036,368","7,465","727,808,964",59.2,62,59.1,59.3,+,1,59.3,35,59.4,14,30.1
4968,立積,"1,468,694","1,517","760,885,703",527,528,511,512,-,6,512,4,513,9,29.98
4976,佳凌,"16,440,156","10,822","1,428,452,051",83.8,89.1,83.8,86.3,+,2.5,86.2,1,86.3,11,863
4977,眾達-KY,"425,382",365,"42,264,187",98.1,100.5,97.7,100,+,2.5,99.9,1,100,4,12.25
4989,榮科,"3,951,522","2,295","160,333,597",41.35,41.65,39.6,40,-,0.65,40,16,40.05,4,58.82
4994,傳奇,"98,330",84,"6,335,098",64.8,65.5,64.1,65.5,+,1.3,64.6,2,65.5,1,21.91
4999,鑫禾,"278,663",246,"13,918,197",49.9,50.2,49.6,49.85,+,0.35,49.85,1,50,3,8.49
5203,訊連,"80,058",77,"6,740,201",83.8,85.2,83.3,84.7,+,1.2,84.5,1,85,3,47.06
5215,科嘉-KY,"459,867",399,"53,749,099",114,119,114,117,+,4,116.5,13,117,8,8.41
5225,東科-KY,"51,000",35,"1,054,800",20.5,20.9,20.1,20.6,+,0.25,20.5,1,20.7,1,
5234,達興材料,"35,011",25,"3,097,984",88.8,88.9,88,88.5,-,0.4,88.5,1,88.8,2,14.63
5243,乙盛-KY,"3,173,679","2,159","197,931,221",62,63.6,61.4,61.5,+,0.3,61.5,57,61.6,31,21.35
5258,虹堡,"782,700",274,"17,466,753",22,22.6,21.95,22.35,+,0.45,22.35,3,22.4,6,11.7
5269,祥碩,"630,583",985,"950,583,150","1,525.00","1,540.00","1,470.00","1,485.00",-,25,"1,485.00",1,"1,490.00",1,32.64
5285,界霖,"1,108,073",730,"84,761,728",75.5,77.8,74.7,76.8,+,1.7,76.8,4,77.1,1,31.74
5388,中磊,"592,649",447,"39,793,501",66.9,67.5,66.6,67.4,+,0.9,67.3,5,67.4,6,17.55
5434,崇越,"1,739,970","1,136","232,375,701",132.5,134.5,132,134,+,2,134,21,134.5,122,11.78
5469,瀚宇博,"3,727,672","1,703","167,966,818",44.65,45.4,44.6,45.15,+,0.75,45.1,40,45.15,1,6.39
5471,松翰,"2,752,707","1,842","261,645,756",95.2,95.6,94.5,94.7,+,0.4,94.7,19,94.8,31,13.82
5484,慧友,"186,416",47,"2,622,443",14.1,14.5,13.95,14, ,0,14.2,2,14.5,5,
6108,競國,"243,107",126,"4,677,705",19.1,19.35,19.05,19.35,+,0.3,19.3,6,19.35,8,40.31
6112,聚碩,"218,235",146,"9,190,112",42,43.15,41.7,42.15,+,0.45,42.1,5,42.2,1,12.15
6115,鎰勝,"275,468",189,"12,082,676",43.8,45.1,43.4,43.9,+,0.1,43.7,7,43.8,3,14.49
6116,彩晶,"508,706,420","132,374","12,397,864,763",24,25.2,23.6,24.05,+,0.65,24.05,"1,429",24.1,412,10.32
6117,迎廣,"6,178",7,"98,756",16.1,16.1,15.8,16, ,0,16,4,16.05,1,
6120,達運,"1,916,543",847,"27,303,077",14.1,14.45,14.05,14.3,+,0.5,14.3,23,14.35,41,
6128,上福,"66,110",40,"1,662,642",25,25.6,24.95,25.4,+,0.45,25.15,3,25.35,1,20.32
6133,金橋,"82,879",41,"767,378",9.25,9.32,9.23,9.3,+,0.05,9.25,31,9.31,2,93
6136,富爾特,"102,924",76,"1,790,389",17.45,17.45,17.35,17.45,+,0.05,17.45,1,17.5,24,38.78
6139,亞翔,"289,224",210,"8,532,702",29.3,29.8,29.1,29.6,+,0.5,29.5,11,29.65,4,16
6141,柏承,"726,005",400,"20,432,298",27.7,28.5,27.7,28.15,+,0.6,28.1,12,28.15,2,8.61
6142,友勁,"2,239,816",909,"29,314,229",12.4,13.45,12.35,13.45,+,1.2,13.45,304,--,0,
6152,百一,"1,036,400",403,"11,063,644",10.55,11,10.4,10.9,+,0.4,10.9,696,10.95,10,60.56
6153,嘉聯益,"4,015,817","2,049","122,360,964",29.8,30.95,29.8,30.55,+,1.05,30.5,10,30.55,12,17.76
6155,鈞寶,"256,178",163,"6,623,478",25.65,26.15,25.6,25.85,+,0.25,25.85,15,25.9,2,48.77
6164,華興,"383,771",204,"3,862,856",9.97,10.2,9.97,10.1,+,0.05,10.05,40,10.15,65,
6166,凌華,"215,394",155,"13,044,589",59.5,61.7,59.2,61.4,+,2.3,61.4,20,61.5,1,84.11
6168,宏齊,"1,462,910",600,"30,698,417",20.9,21.15,20.85,20.9,+,0.15,20.9,7,20.95,14,19.72
6172,互億,"112,004",50,"4,212,147",37.85,37.9,37,37.6,-,0.35,37.55,1,37.6,4,64.83
6176,瑞儀,"1,733,614","1,140","206,759,484",118.5,120,118,119.5,+,1.5,119.5,56,120,173,8.99
6183,關貿,"60,071",65,"2,959,964",49.45,49.75,48.9,49.1, ,0,49.1,10,49.45,2,18.12
6189,豐藝,"379,127",229,"15,177,744",40,40.15,39.85,40.1,+,0.2,40.1,1,40.15,20,11.69
6191,精成科,"12,129,092","5,475","398,567,499",32.5,33.35,32.3,32.65,+,0.45,32.65,26,32.7,75,7.16
6192,巨路,"73,709",65,"5,238,017",71.9,71.9,70.8,71.1,+,0.2,71.1,2,71.2,3,10.1
6196,帆宣,"300,894",288,"31,321,084",103.5,105,103,104.5,+,2,104,15,104.5,1,22
6197,佳必琪,"283,006",179,"10,774,624",37.95,38.2,37.9,38.15,+,0.2,38.15,13,38.2,2,15.76
6201,亞弘電,"57,176",56,"2,627,646",46,46.1,45.85,45.9,-,0.1,45.9,1,46.3,1,11.33
6202,盛群,"1,131,577",871,"108,135,435",95.4,96.4,95,95.1,+,0.7,95.1,9,95.2,11,17.45
6205,詮欣,"91,168",70,"2,857,904",31.05,31.45,31.05,31.35,+,0.3,31.35,11,31.4,15,15.29
6206,飛捷,"81,661",72,"5,204,217",63.5,63.9,63.3,63.9,+,0.6,63.9,1,64,7,19.42
6209,今國光,"2,291,104","1,320","79,363,268",33.9,35.35,33.8,34.4,+,0.8,34.35,10,34.4,11,
6213,聯茂,"634,398",504,"80,275,210",127,128,125.5,126,-,0.5,126,50,127,69,14.32
6214,精誠,"313,117",257,"27,599,935",87.9,88.6,87.7,88.5,+,0.8,88.5,4,88.6,13,10.4
6215,和椿,"924,261",478,"20,715,749",22.05,22.7,22.05,22.65,+,0.65,22.6,1,22.65,33,10.3
6216,居易,"32,036",30,"805,357",25.1,25.2,25.1,25.2,+,0.1,25.15,2,25.2,15,18.53
6224,聚鼎,"462,888",388,"52,999,126",114.5,115.5,113.5,115,+,1,115,2,115.5,30,20.8
6225,天瀚,"3,188",6,"11,986",3.75,3.8,3.75,3.8,+,0.01,3.8,1,4.02,2,
6226,光鼎,"682,452",366,"6,398,412",9.35,9.44,9.26,9.43,+,0.23,9.41,8,9.43,8,
6230,尼得科超眾,"183,526",192,"38,506,187",204.5,215,204.5,213.5,+,11.5,213,3,213.5,2,21.48
6235,華孚,"617,858",322,"11,546,507",18.25,19,18.25,18.85,+,0.6,18.85,5,18.9,2,4.58
6239,力成,"2,050,673","1,232","220,647,278",108,109,106.5,107, ,0,107,62,107.5,46,12.27
6243,迅杰,"1,249,272",654,"21,654,443",16.8,17.75,16.8,17.6,+,0.8,17.6,12,17.65,108,
6251,定穎,"3,333,747","1,440","66,776,699",19.7,20.3,19.7,20,+,0.4,19.95,28,20,46,36.36
6257,矽格,"2,869,304","1,527","146,300,816",50.7,51.4,50.5,51,+,0.7,50.9,25,51,5,11.26
6269,台郡,"2,714,540","1,868","326,687,677",120,121,119.5,120,+,1,119.5,28,120,18,14.08
6271,同欣電,"831,741",756,"152,292,534",182,185,182,182,-,1,182,57,183,28,19.63
6277,宏正,"92,889",99,"7,785,467",83.6,84,83.5,83.9,+,0.5,83.8,2,83.9,1,7.33
6278,台表科,"20,136,734","11,742","2,491,999,275",123,127.5,119.5,121.5,+,2.5,121.5,80,122,64,14.6
6281,全國電,"50,455",58,"4,139,155",81.6,82.4,81.6,82.4,+,0.8,82.1,3,82.5,3,13.6
6282,康舒,"2,084,428",945,"55,580,850",26.6,26.8,26.5,26.65,+,0.25,26.65,35,26.7,15,9.98
6283,淳安,"2,469,021","1,558","118,378,596",47,49.6,46.7,47.25,+,0.85,47.25,41,47.4,1,
6285,啟碁,"1,006,560",807,"67,835,379",66.3,68,66.3,67.5,+,1.3,67.5,3,67.6,22,18
6289,華上,"33,311",18,"100,178",3,3.03,3,3.03,+,0.1,3,25,3.05,1,
6405,悅城,"420,020",225,"12,051,828",28.25,29.2,28.05,29.1,+,0.9,29,7,29.1,3,11.37
6409,旭隼,"84,628",125,"105,267,830","1,250.00","1,260.00","1,235.00","1,245.00",+,10,"1,240.00",6,"1,245.00",1,49.04
6412,群電,"621,654",445,"42,962,289",69.2,70.2,68.5,69.2, ,0,69.2,20,69.3,1,10.42
6414,樺漢,"270,649",246,"57,161,506",211,212.5,210,210.5,+,0.5,210.5,3,211,103,18.04
6415,矽力-KY,"876,349","1,219","3,128,266,935","3,700.00","3,720.00","3,375.00","3,420.00",-,260,"3,420.00",1,"3,425.00",1,89.36
6416,瑞祺電通,"2,186,969","1,685","270,614,830",118.5,127,118,123.5,+,6,123.5,32,124,15,25.26
6426,統新,"229,465",199,"19,423,773",82.4,86.3,82.4,85.4,+,3.4,85.1,2,85.8,5,31.98
6431,光麗-KY,"22,001",14,"676,131",31,31,30.5,31, ,0,30.7,2,31,1,
6438,迅得,"1,301,155","1,119","125,283,000",95.2,97.5,95,95.9,+,1.9,95.9,2,96.2,2,12.55
6442,光聖,"13,800",13,"453,629",33.8,33.8,32.7,33.4,+,0.65,32.7,3,33.35,2,175.79
6443,元晶,"21,026,596","9,358","712,750,799",33.5,34.3,33.3,34.3,+,1.45,34.25,68,34.3,127,85.75
6449,鈺邦,"234,035",173,"14,804,918",64,64,62.6,63.6,+,0.2,63.5,1,63.6,3,18.02
6451,訊芯-KY,"1,568,639","1,208","179,726,431",111,116.5,111,114.5,+,4.5,114.5,4,115,26,13.45
6456,GIS-KY,"8,093,781","5,697","847,655,463",100,108,99.9,108,+,9.6,108,"3,053",--,0,9.47
6477,安集,"2,969,567","1,934","139,450,014",46,47.6,45.95,47.2,+,1.5,47.2,25,47.25,32,20.88
6515,穎崴,"62,868",105,"16,626,998",262.5,267,261.5,264, ,0,264,3,266.5,3,16.83
6525,捷敏-KY,"296,430",264,"23,295,276",77.8,79.3,77.3,78.5,+,1.3,78.5,1,78.7,1,13.46
6531,愛普,"2,611,684","2,561","1,885,803,754",729,739,712,713,-,3,713,1,714,3,46.91
6533,晶心科,"1,968,058","2,083","890,380,444",464.5,469,441,445,-,11,444,1,445,9,188.56
6552,易華電,"220,355",180,"11,841,738",53.4,54.2,53.1,53.9,+,1.2,53.7,8,53.9,2,26.04
6558,興能高,"279,030",181,"11,075,775",39.6,40.05,39.4,40,+,0.45,39.75,2,40,11,28.37
6573,虹揚-KY,"73,631",56,"1,239,395",16.75,17,16.7,17,+,0.3,16.95,1,17,7,
6579,研揚,"18,003",17,"1,233,307",67.7,70,65.9,69.9,+,2.3,67.2,4,69.6,1,22.84
6591,動力-KY,"617,636",455,"41,631,575",66.8,68.4,66.2,67.5,+,2,67.5,8,67.7,5,9.45
6668,中揚光,"2,021,805","1,025","141,482,912",65.3,71.2,65.3,71.2,+,6.4,71.2,"4,029",--,0,45.35
6669,緯穎,"303,897",435,"279,229,486",931,938,909,912,-,19,911,8,912,1,18.03
6672,騰輝電子-KY,"6,006,098","3,900","670,182,369",108.5,114,107.5,113.5,+,4,113,90,113.5,38,17.68
6674,鋐寶科技,"35,002",32,"1,022,162",29.2,29.5,29,29.2, ,0,29.1,2,29.45,2,45.62
6698,旭暉應材,"63,214",58,"2,674,141",41.8,42.8,41.75,42.5,+,0.8,42.4,1,42.5,8,75.89
6706,惠特,"2,056,301","1,694","344,202,171",165,171,164.5,166,+,3,165.5,23,166,7,26.95
6715,嘉基,"92,145",65,"9,841,640",107.5,107.5,106,107.5, ,0,107,1,107.5,10,22.82
6743,安普新,"298,881",311,"36,434,972",123,124,121,121,-,0.5,121,20,121.5,9,30.25
