證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
1460,宏遠,"6,199,746","2,302","75,418,628",12.6,12.6,11.8,12.25,+,0.15,12.2,72,12.25,40,
1463,強盛,"253,861",168,"3,500,666",14,14,13.65,13.8,-,0.1,13.8,3,13.85,7,47.59
1464,得力,"407,627",267,"7,024,885",17.3,17.3,17.2,17.3,+,0.05,17.25,5,17.3,30,
1465,偉全,"35,930",32,"461,259",12.8,12.9,12.8,12.9,+,0.1,12.85,5,12.9,7,
1466,聚隆,"4,401,031","2,001","91,161,704",20.3,21.1,20.3,20.85,+,0.6,20.8,13,20.85,47,24.53
1467,南緯,"1,376,312",501,"24,252,057",17.6,17.9,17.35,17.8,+,0.2,17.75,18,17.8,11,13.8
1468,昶和,"39,000",30,"472,250",12.3,12.3,12,12,-,0.3,12,4,12.15,4,36.36
1470,大統新創,"10,125",10,"161,537",15.85,16,15.85,16,+,0.1,15.85,9,16,6,55.17
1472,三洋紡,"59,096",31,"628,210",10.6,10.7,10.6,10.7,+,0.1,10.55,4,10.7,1,
1473,台南,"248,577",159,"4,482,912",18.25,18.3,17.7,18,-,0.05,17.95,1,18.1,2,
1474,弘裕,"6,951,914","2,220","120,148,734",17.35,17.65,16.65,17.25, ,0,17.2,64,17.25,5,15
1475,業旺,"31,342",32,"1,123,123",35.6,36.1,35.6,36.1,+,0.95,36.1,2,36.2,3,150.42
1476,儒鴻,"1,252,946","1,495","786,809,738",645,645,616,635,-,10,634,1,635,11,35.44
1477,聚陽,"3,583,257","2,924","997,647,505",282,284,271.5,284,+,3,283,23,284,56,30.15
4414,如興,"2,920,688","1,039","28,788,412",9.85,9.94,9.75,9.9,+,0.07,9.89,43,9.9,10,
4426,利勤,"362,255",283,"9,095,643",24.4,25.5,24.4,25.3,+,0.8,25.25,4,25.3,6,
4438,廣越,"180,252",179,"24,142,140",135,136,132.5,133.5,-,2.5,133.5,2,134,12,28.59
4439,冠星-KY,"8,000",8,"1,175,000",147,147,146.5,147, ,0,147,3,148,3,10.33
證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
1503,士電,"120,278",96,"6,165,630",51.2,51.5,51.1,51.5,+,0.3,51.4,2,51.5,26,15.94
1504,東元,"1,410,039",689,"46,564,515",33,33.2,32.8,33.1,+,0.1,33.1,17,33.15,76,16.8
1506,正道,"117,623",70,"1,145,114",9.69,9.79,9.65,9.79,+,0.09,9.76,2,9.79,3,
1507,永大,"106,874",79,"6,601,452",61.9,62,61.6,61.9, ,0,61.8,4,61.9,1,18.31
1513,中興電,"3,062,555","1,735","158,031,239",51.3,51.9,51.1,51.5,+,0.3,51.5,27,51.6,29,11.81
1514,亞力,"705,110",333,"16,984,807",23.85,24.25,23.85,24.2,+,0.35,24.1,23,24.2,21,15.71
1515,力山,"1,322,218",943,"103,471,888",78,79,77.4,78.7,+,1.3,78.7,10,78.8,19,13.57
1517,利奇,"2,883,157","1,512","74,897,806",25.95,26.5,25.5,26.4,+,0.55,26.35,31,26.4,16,17.48
1519,華城,"567,219",472,"25,334,519",44.5,45.3,44.3,44.45,+,0.2,44.45,10,44.5,5,25.11
1526,日馳,"455,871",285,"22,660,337",49.7,50.4,48.6,49.8,+,0.7,49.75,4,49.8,3,14.27
1527,鑽全,"1,644,800","1,098","80,823,132",48.9,49.7,48.25,49.35,+,1.55,49.35,7,49.4,5,15.97
1528,恩德,"209,195",105,"2,071,211",9.93,9.99,9.87,9.92,+,0.03,9.91,6,9.93,41,
1529,樂士,"95,252",65,"1,601,832",16.85,16.95,16.6,16.75,-,0.2,16.8,5,16.9,24,28.39
1530,亞崴,"19,312",16,"689,578",35.7,35.75,35.65,35.7,+,0.05,35.7,2,35.75,1,46.36
1531,高林股,"167,192",119,"2,433,703",14.65,14.8,14.45,14.75,+,0.2,14.75,1,14.8,13,
1532,勤美,"662,490",308,"22,157,580",33.45,33.8,32.95,33.65,+,0.5,33.65,7,33.7,26,16.02
1535,中宇,"33,312",33,"1,274,410",38.25,38.5,38.2,38.5,+,0.1,38.25,1,38.5,1,18.6
1537,廣隆,"175,060",190,"25,469,077",144,147,144,147,+,3.5,146,10,147,4,13.46
1538,正峰,"7,276",12,"90,943",12.5,12.7,12.5,12.7,+,0.2,12.5,16,12.8,1,
1539,巨庭,"82,000",43,"1,444,000",17.8,17.8,17.45,17.6,+,0.1,17.6,1,17.65,4,
1540,喬福,"132,405",64,"2,117,775",16,16.05,15.9,16.05,+,0.1,16,10,16.05,8,
1541,錩泰,"31,003",32,"1,536,799",50,50,49.25,49.5, ,0,49.5,2,49.9,1,9.46
1558,伸興,"51,789",65,"8,581,622",165,166.5,165,166,+,1.5,165.5,3,166.5,10,9.63
1560,中砂,"400,919",281,"26,172,011",64.8,65.7,64.7,65.4,+,0.9,65.4,1,65.5,9,17.44
1583,程泰,"13,373",13,"850,767",63.6,63.8,63.5,63.5, ,0,63.5,4,63.7,1,25.81
1589,永冠-KY,"732,534",528,"53,913,071",73.1,74.1,72.9,74.1,+,1.3,74.1,1,74.2,8,10.91
1590,亞德客-KY,"388,816",460,"386,480,480",995,"1,010.00",988,992,-,6,992,2,993,1,31.85
1597,直得,"1,877,374","1,601","204,227,697",102.5,111,102.5,110.5,+,9.5,110,9,110.5,3,39.61
2049,上銀,"1,394,124","1,280","523,067,529",370,379,370,375.5,+,7.5,375.5,9,376,15,47.9
2371,大同,"6,970,356","1,877","173,993,987",25,25.3,24.75,24.85, ,0,24.8,312,24.85,63,
3167,大量,"189,337",160,"12,337,438",63.6,67.1,63.5,66.7,+,3.3,66.6,4,66.7,1,11.01
4526,東台,"260,566",166,"4,046,593",15.5,15.65,15.4,15.65,+,0.25,15.6,5,15.65,2,
4532,瑞智,"486,079",215,"9,909,612",20.3,20.5,20.3,20.45,+,0.1,20.4,24,20.45,34,14.61
4540,全球傳動,"481,417",402,"25,352,197",50.4,54.1,50.4,53.8,+,3.5,53.8,2,53.9,1,44.1
4552,力達-KY,"74,778",57,"2,304,699",30.65,31.45,30.35,31.1,+,0.15,31,4,31.2,5,10.4
4555,氣立,"71,102",59,"3,857,147",54.8,54.9,53.7,53.8,-,0.6,53.7,3,54,2,21.78
4560,強信-KY,"132,001",44,"5,500,695",41.7,42,41.45,41.95,+,0.25,41.95,3,42,9,49.94
4562,穎漢,"309,004",227,"6,387,035",21.45,21.45,20.1,20.7,-,0.75,20.65,2,20.75,4,
4564,元翎,"2,105,068","1,135","88,985,895",42.05,43,41.85,42.4,+,0.45,42.35,30,42.4,14,24.23
4566,時碩工業,"158,036",110,"7,555,413",47.6,48.25,47.55,47.7,+,0.1,47.65,5,47.7,10,34.82
4571,鈞興-KY,"84,049",80,"11,879,401",144,144,139.5,139.5,-,2.5,139.5,1,140,4,18.65
4572,駐龍,"42,060",41,"3,983,969",95.5,95.5,94,95.3,-,0.1,94.6,1,95.4,1,297.81
4576,大銀微系統,"210,512",186,"26,909,014",128,129,126,129,+,2.5,128.5,2,129,21,84.87
5288,豐祥-KY,"109,000",70,"15,243,000",138.5,142.5,137.5,142,+,4,141.5,8,142,1,15.88
8222,寶一,"106,582",97,"1,413,601",13.4,13.4,13.1,13.3,+,0.1,13.2,4,13.35,4,
8374,羅昇,"119,531",55,"3,083,838",25.9,26.05,25.55,26,+,0.2,26,1,26.05,2,23.21
8996,高力,"143,610",115,"6,476,737",44.75,45.3,44.75,45.2,+,0.45,45.15,3,45.25,7,53.81
證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
1603,華電,"1,043,646",547,"31,999,652",31.1,31.2,30.15,31.2,+,0.4,31.05,8,31.2,6,12.68
1604,聲寶,"545,023",372,"16,075,111",29.6,29.6,29.4,29.6,+,0.05,29.55,45,29.6,45,5.91
1605,華新,"44,285,361","15,565","1,166,887,524",26.45,26.95,26,26.5,+,0.05,26.45,535,26.5,"1,331",10.73
1608,華榮,"22,090,815","9,127","611,849,236",27.9,28.6,26.9,27.9,-,0.15,27.85,37,27.9,56,5.24
1609,大亞,"23,315,956","10,325","679,240,956",29.65,29.9,28.55,29.15,-,0.15,29.15,38,29.2,86,14.95
1611,中電,"682,777",341,"7,791,911",11.4,11.55,11.3,11.5,+,0.1,11.45,27,11.5,6,42.59
1612,宏泰,"2,495,113","1,331","64,272,584",25.7,26.2,25.3,26.1,+,0.55,26.05,5,26.1,76,11.06
1614,三洋電,"98,050",59,"3,292,390",33.7,33.8,33.5,33.8, ,0,33.8,1,33.85,1,23.15
1615,大山,"815,184",546,"32,712,438",40.35,41.45,39.2,40.4,+,0.05,40.4,16,40.5,12,14.08
1616,億泰,"4,885,008","1,879","49,694,917",10.5,10.55,9.6,10.5, ,0,10.45,16,10.5,18,80.77
1617,榮星,"402,002",256,"7,635,646",19.3,19.5,18.6,19.15,-,0.15,19.05,3,19.15,3,15.32
1618,合機,"1,564,388",667,"25,318,726",16.2,16.45,16,16.25,+,0.05,16.2,10,16.25,6,12.31
1626,艾美特-KY,"17,000",15,"410,300",24.2,24.2,24.1,24.1,-,0.1,24.1,1,24.25,1,19.28
4930,燦星網,"488,543",302,"12,074,537",24.3,25,24.25,24.9,+,0.65,24.85,2,24.9,4,8.77
5283,禾聯碩,"110,625",106,"13,200,120",119.5,120.5,118.5,119.5,+,1,119,17,119.5,1,9.33
證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
1598,岱宇,"1,153,891",783,"106,681,012",91.6,93.5,91.5,93.2,+,1.9,93.2,1,93.3,7,7.47
1701,中化,"816,316",402,"18,951,709",23.15,23.35,23.1,23.3,+,0.15,23.3,3,23.35,49,12.07
1707,葡萄王,"323,865",446,"54,943,865",167,171.5,167,171.5,+,5,171,12,171.5,9,20.47
1708,東鹼,"803,903",370,"22,180,811",27.5,27.8,27.4,27.75,+,0.25,27.7,5,27.75,14,31.9
1709,和益,"8,166,642","2,487","156,018,135",19.1,19.3,18.8,19.2,+,0.3,19.2,49,19.25,15,12.8
1710,東聯,"2,969,145",878,"64,943,594",21.75,22.15,21.6,22.15,+,0.45,22.1,41,22.15,18,
1711,永光,"3,330,129","1,424","63,823,041",19.15,19.35,19.05,19.2,+,0.2,19.2,19,19.25,79,39.18
1712,興農,"655,017",271,"14,241,969",21.7,21.8,21.65,21.75,+,0.05,21.7,179,21.75,3,9.67
1713,國化,"86,383",54,"1,944,920",22.8,22.8,22.4,22.55,+,0.05,22.55,1,22.6,7,30.89
1714,和桐,"20,079,863","5,011","230,374,131",11.3,11.6,11.25,11.55,+,0.3,11.5,564,11.55,59,6.11
1717,長興,"9,037,711","4,495","369,021,651",40.7,41.3,40.2,41.3,+,0.8,41.25,109,41.3,134,16.26
1718,中纖,"16,905,435","3,650","173,343,231",10.2,10.4,10.15,10.35,+,0.2,10.3,256,10.35,30,8.7
1720,生達,"370,402",254,"14,190,555",38.4,38.5,38.2,38.5,+,0.05,38.5,2,38.6,8,11.22
1721,三晃,"268,752",177,"2,644,887",9.8,9.9,9.8,9.88,+,0.09,9.88,8,9.89,2,3.67
1722,台肥,"1,707,909",982,"94,992,829",55.5,56.2,55.3,56.1,+,0.7,56,20,56.1,7,27.23
1723,中碳,"140,102",107,"15,140,246",107.5,108.5,107.5,108.5,+,1,108,117,108.5,20,32.68
1724,台硝,"70,189",48,"1,109,427",15.8,15.85,15.8,15.8, ,0,15.8,408,15.85,24,
1725,元禎,"67,216",49,"1,273,895",18.95,19.25,18.85,19.25,+,0.4,18.95,5,19.15,1,12.03
1726,永記,"31,171",24,"2,314,588",74.4,74.5,74,74.1,-,0.3,74,5,74.4,2,12.86
1727,中華化,"1,398,289",565,"18,892,690",12.7,13.9,12.7,13.9,+,1.2,13.9,8,13.95,201,66.19
1730,花仙子,"238,557",295,"16,478,493",69.5,69.5,68.8,69.2,-,0.2,69.2,1,69.3,2,12.23
1731,美吾華,"1,191,835",528,"24,476,304",20.65,20.65,20.35,20.55,+,0.05,20.55,10,20.6,3,15.11
1732,毛寶,"2,869,451","1,825","100,010,946",36.2,36.6,33.4,36.6,+,0.4,36.6,1,36.7,5,48.8
1733,五鼎,"249,187",133,"5,956,363",23.9,24.05,23.85,23.95,+,0.05,23.95,1,24,37,20.3
1734,杏輝,"1,631,368","1,058","49,201,621",30.6,30.6,29.9,30.45, ,0,30.4,35,30.45,6,
1735,日勝化,"31,243",26,"567,548",18,18.45,18,18.3, ,0,18.05,1,18.3,13,42.56
1736,喬山,"279,972",220,"22,135,514",79,79.5,78.7,79.1,+,0.1,79.1,1,79.2,4,23.97
1760,寶齡富錦,"3,248,865","2,640","301,265,663",95.8,99.5,89,99,+,2.2,99,38,99.2,2,"3,300.00"
1762,中化生,"1,223,702",720,"77,937,880",63.3,64.3,62.9,64.3,+,1.4,64.2,5,64.3,17,8.28
1773,勝一,"129,216",134,"14,546,949",112.5,113.5,112,113, ,0,112.5,6,113,2,15.89
1776,展宇,"39,063",38,"677,800",17.3,17.55,17.2,17.55,+,0.35,17.45,1,17.55,7,21.94
1783,和康生,"1,255,559",796,"45,539,277",36.5,37.3,35.3,35.9,-,0.6,35.9,4,36.05,10,33.24
1786,科妍,"61,246",44,"3,149,286",51.7,52.2,51,52.2,+,0.3,51.9,1,52.2,6,27.33
1789,神隆,"2,093,715","1,104","57,345,094",27.6,27.7,27,27.55,-,0.05,27.5,34,27.55,23,64.07
1795,美時,"2,942,469","1,792","268,976,848",93.5,93.5,90.4,92.3,-,0.7,92.2,11,92.3,4,16.84
3164,景岳,"244,872",156,"6,040,735",24.85,24.85,24.55,24.8, ,0,24.8,9,24.85,8,25.83
3705,永信,"147,662",123,"6,394,667",43.3,43.65,43.1,43.45,+,0.15,43.3,27,43.45,3,16.46
3708,上緯投控,"930,996",705,"111,560,724",118.5,121.5,117,121.5,+,4,121,5,121.5,47,17.66
4104,佳醫,"116,885",134,"6,726,806",57.5,57.9,57.3,57.8,+,0.2,57.8,1,58,21,14.45
4106,雃博,"24,093,302","14,393","1,196,396,671",50,53,47.45,47.45,-,5.25,--,0,47.45,"2,389",37.96
4108,懷特,"884,773",486,"22,053,871",25.35,25.35,24.55,24.95,-,0.35,24.95,24,25,2,
4119,旭富,"267,292",265,"23,142,541",85.4,87.5,85.4,87.5,+,2.1,87.4,3,87.5,5,36.01
4133,亞諾法,"7,217,228","5,109","437,213,415",62.9,63.6,58.3,62.8,-,1.4,62.8,2,62.9,11,98.12
4137,麗豐-KY,"103,329",108,"21,824,498",211,212.5,209.5,212.5,+,2.5,212,3,213,10,14.39
4141,龍燈-KY,"230,139",149,"2,726,645",11.75,12.05,11.7,11.9,+,0.2,11.9,1,11.95,5,
4142,國光生,"11,716,345","7,314","606,975,405",52.3,53.6,50.6,53.1,+,0.8,53.1,74,53.2,45,22.6
4148,全宇生技-KY,"28,000",23,"963,100",34.9,34.9,34.1,34.2,-,0.2,34.25,2,34.45,2,16.13
4155,訊映,"177,191",102,"4,412,875",25,25,24.8,25,+,0.05,24.95,6,25,10,20.83
4164,承業醫,"189,735",137,"6,881,655",36.35,36.75,36,36.45,+,0.3,36.4,7,36.5,1,14.24
4190,佐登-KY,"90,310",83,"7,135,390",78,79.6,78,79.5,+,1.5,79.1,4,79.5,1,14.05
4720,德淵,"307,280",180,"4,688,841",15.1,15.35,15.1,15.25,+,0.15,15.25,22,15.3,2,15.56
4722,國精化,"264,036",155,"8,891,678",33.9,34,33.45,34,+,0.25,33.7,3,34,5,10.46
4737,華廣,"36,000",33,"2,589,600",72.2,72.5,71.5,71.8,-,0.4,71.7,4,72.3,3,52.41
4739,康普,"925,772",663,"71,635,574",77,78,76,78,+,1.3,78,8,78.1,5,32.23
4746,台耀,"8,780,660","5,568","799,517,088",92.5,97.2,88.1,97.2,+,3.7,97.2,149,97.3,1,6.72
4755,三福化,"13,101",20,"828,885",63.3,63.5,63.1,63.5,+,0.2,63.3,1,63.5,1,15.6
4763,材料-KY,"131,270",116,"13,903,828",106.5,106.5,105.5,106, ,0,106,1,106.5,9,11.53
4764,雙鍵,"19,002",15,"1,068,113",56,57.6,55.9,56.8,-,0.6,56.2,8,56.8,1,46.94
4766,南寶,"22,031",26,"3,306,685",151,151,149.5,150.5, ,0,150,31,150.5,11,14.13
6491,晶碩,"558,313",599,"289,525,669",520,534,507,512,-,3,512,4,513,3,42.24
6541,泰福-KY,"587,319",482,"34,841,186",59.1,60.9,58.1,59.9,+,1,59.5,7,60,4,
6598,ABC-KY,"1,136,810",928,"51,143,716",45.7,45.8,44.2,45.7,-,0.6,45.7,3,45.75,1,
6666,羅麗芬-KY,"30,358",32,"2,378,934",79.9,79.9,77.9,78.2,-,0.3,78,1,79,1,30.79
證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
1802,台玻,"53,585,901","20,422","1,801,947,679",33,34.8,32.75,33.75,+,0.85,33.7,84,33.75,92,19.29
1806,冠軍,"2,683,028",970,"31,559,400",11.75,12,11.55,11.8,+,0.15,11.75,39,11.8,32,
1809,中釉,"2,711,469","1,126","39,628,151",14.4,14.95,14.15,14.9,+,0.7,14.9,8,14.95,38,
1810,和成,"899,000",294,"10,148,650",11.25,11.45,11.1,11.35,+,0.15,11.35,30,11.4,17,56.75
1817,凱撒衛,"26,100",25,"950,180",37.2,37.2,36.2,36.4,+,0.1,36.4,1,36.45,1,10.96
